Customer ID,Gender,Age,Income,Occupation,Marital Status,No. Family Members,Home Ownership,Home Value,Years in Current Home,Credit Score,Number of Credit Cards,Total Credit Card Limit,Total Credit Card Balance,Product ID,Products Purchased,Number of Online Purchases,Average Purchase Value,Last Purchase Value,Days Since Last Purchase,Number of Returns,Total Values of Returns,Locations
C001,Female,23,27275,Student,Single,2,Own,442797,13,940,5,12331,22979,P001,Clothing,8,142.776953,50.13132471,29,1,20.11094653,Bangalore
C002,Female,18,35579,Student,Single,3,Own,182090,17,932,1,15733,18890,P002,Jewelry,16,152.688423,40.42363125,66,4,33.86823721,Delhi
C003,Male,45,59347,Homemaker,Single,2,Own,973684,12,552,5,22769,14721,P003,Jewelry,3,115.2616745,88.0140499,131,4,94.1789993,Jaipur
C004,Female,19,27105,Student,Married,3,Own,94669,7,557,5,9127,21491,P004,Books,1,48.42808144,192.5328907,50,5,51.75475406,Nashik
C005,Female,45,47566,Homemaker,Single,4,Own,938493,7,858,5,8278,2842,P005,Jewelry,13,183.4584407,233.07931,171,3,76.83090106,Bangalore
C006,Male,26,48031,Student,Divorced,5,Rent,664814,19,800,2,24566,19665,P006,Books,14,158.4408582,104.020963,165,3,107.1277166,Ludhiana
C007,Female,20,37707,Technician,Widowed,2,Own,717212,18,628,1,17079,11196,P007,Books,12,72.05826463,131.9475314,91,3,48.38047386,Bangalore
C008,Male,61,35280,Self-employed,Single,4,Rent,459278,10,829,5,20088,14159,P008,Clothing,19,165.9003434,163.1241157,144,2,107.5749432,Pune
C009,Male,26,59207,Homemaker,Married,2,Own,560883,5,580,5,10535,5979,P009,Clothing,3,82.94892728,155.8063857,102,4,103.4622842,Ahmedabad
C010,Male,24,42999,Homemaker,Single,3,Rent,88944,15,944,1,13642,2508,P010,Electronics,14,23.3317039,208.4303964,105,5,52.65549541,Jaipur
C011,Female,62,53477,Technician,Single,5,Rent,392420,16,551,4,15888,15573,P011,Beauty Products,20,65.21088034,73.63522562,149,5,21.69949081,Bangalore
C012,Male,33,37723,Student,Divorced,5,Own,686232,8,615,2,17457,22984,P012,Home Appliances,15,109.6971861,17.94485872,66,3,40.76858793,Bangalore
C013,Male,19,24407,Student,Single,2,Rent,919914,4,903,5,23768,8944,P013,Clothing,13,80.33696694,25.67507865,74,5,66.71570453,Ludhiana
